,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path
1734,CMCSA,Communication Services,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/comcast-corporation-cmcsa-q1-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CMCSA/2021/Q1/
1735,ABMD,Health Care,2021-04-29,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/04/29/abiomed-inc-abmd-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ABMD/2021/Q4/
1736,BAX,Health Care,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/baxter-international-inc-bax-q1-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/BAX/2021/Q1/
1737,ICE,Financials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/intercontinental-exchange-inc-ice-q1-2021-earnings/,/Users/gyf/Desktop/earning call analysis/ICE/2021/Q1/
1738,WST,Health Care,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/west-pharmaceutical-services-wst-q1-2021-earnings/,/Users/gyf/Desktop/earning call analysis/WST/2021/Q1/
1739,CTXS,Information Technology,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/citrix-systems-inc-ctxs-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/CTXS/2021/Q1/
1740,RJF,Financials,2021-04-29,2021,Q2,https://www.fool.com/earnings/call-transcripts/2021/04/29/raymond-james-financial-inc-rjf-q2-2021-earnings-c/,/Users/gyf/Desktop/earning call analysis/RJF/2021/Q2/
1741,KHC,Consumer Staples,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/kraft-heinz-company-khc-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/KHC/2021/Q1/
1742,MRK,Health Care,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/merck-co-mrk-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MRK/2021/Q1/
1743,MGM,Consumer Discretionary,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/mgm-resorts-international-mgm-q1-2021-earnings-cal/,/Users/gyf/Desktop/earning call analysis/MGM/2021/Q1/
1744,F,Consumer Discretionary,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/ford-f-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/F/2021/Q1/
1745,NOW,Information Technology,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/service-now-now-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/NOW/2021/Q1/
1746,EQIX,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/equinix-inc-eqix-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EQIX/2021/Q1/
1747,PTC,Information Technology,2021-04-29,2021,Q2,https://www.fool.com/earnings/call-transcripts/2021/04/29/ptc-inc-ptc-q2-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PTC/2021/Q2/
1748,ALGN,Health Care,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/align-technology-inc-algn-q1-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/ALGN/2021/Q1/
1749,EQR,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/equity-residential-eqr-q1-2021-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/EQR/2021/Q1/
1750,ESS,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/essex-property-trust-ess-q1-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/ESS/2021/Q1/
1751,UDR,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/udr-inc-udr-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/UDR/2021/Q1/
1752,MCO,Financials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/moodys-corp-mco-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MCO/2021/Q1/
1753,QCOM,Information Technology,2021-04-29,2021,Q2,https://www.fool.com/earnings/call-transcripts/2021/04/29/qualcomm-qcom-q2-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/QCOM/2021/Q2/
1754,IPG,Communication Services,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/interpublic-group-of-companies-inc-ipg-q1-2021-ear/,/Users/gyf/Desktop/earning call analysis/IPG/2021/Q1/
1755,AAPL,Information Technology,2021-04-29,2021,Q2,https://www.fool.com/earnings/call-transcripts/2021/04/29/apple-aapl-q2-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AAPL/2021/Q2/
1756,HES,Energy,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/hess-corp-hes-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HES/2021/Q1/
1757,FB,Communication Services,2021-04-28,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/28/facebook-fb-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/FB/2021/Q1/
1758,EBAY,Consumer Discretionary,2021-04-28,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/28/ebay-inc-ebay-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EBAY/2021/Q1/
1759,ADP,Information Technology,2021-04-28,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/04/28/automatic-data-processing-inc-adp-q3-2021-earnings/,/Users/gyf/Desktop/earning call analysis/ADP/2021/Q3/
1760,GD,Industrials,2021-04-28,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/28/general-dynamics-gd-q1-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/GD/2021/Q1/
