,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_pe
449,449,C,Financials,2022-01-15,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/15/citigroup-c-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/C/2021/Q4/,4.4885397
450,450,BLK,Financials,2022-01-14,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/14/blackrock-blk-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/BLK/2021/Q4/,15.881752
451,451,DAL,Industrials,2022-01-13,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/13/delta-air-lines-dal-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/DAL/2021/Q4/,0.0
452,452,WBA,Consumer Staples,2022-01-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/01/06/walgreens-boots-alliance-wba-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/WBA/2022/Q1/,15.011932
453,453,STZ,Consumer Staples,2022-01-06,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/01/06/constellation-brands-stz-q3-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/STZ/2022/Q3/,64.506454
454,454,CAG,Consumer Staples,2022-01-06,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/01/06/conagra-brands-inc-cag-q2-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/CAG/2022/Q2/,14.379283
455,455,LW,Consumer Staples,2022-01-06,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/01/06/lamb-weston-holdings-inc-lw-q2-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/LW/2022/Q2/,36.251427
456,456,PAYX,Information Technology,2021-12-23,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/23/paychex-payx-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PAYX/2022/Q2/,34.051136
457,457,CTAS,Industrials,2021-12-22,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/22/cintas-corporation-ctas-q2-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/CTAS/2022/Q2/,35.232666
458,458,FDS,Financials,2021-12-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2021/12/21/factset-research-systems-inc-fds-q1-2022-earnings/,/Users/gyf/Desktop/earning call analysis/FDS/2022/Q1/,35.320988
459,459,GIS,Consumer Staples,2021-12-21,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/21/general-mills-inc-gis-q2-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/GIS/2022/Q2/,20.235666
460,460,NKE,Consumer Discretionary,2021-12-21,2022,Q2,https://www.fool.com/earnings/call-transcripts/2021/12/21/nike-inc-nke-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/NKE/2022/Q2/,29.446196
461,461,CCL,Consumer Discretionary,2021-12-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2021/12/20/carnival-corporation-ccl-q4-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/CCL/2021/Q4/,0.0
