,Ticker,Sector,Date,Year,Quarter,Forward_pe,Trailing_pe,Trailing_eps,Market_cap,Target,svd_1,svd_2,svd_3,svd_4,f_k,g_f,d_c,spache,neg_vader,neu_vader,pos_vader,sent_TB,Litigious,Positive,WeakModal,Uncertainty,StrongModal,Negative,Constraining,Target_Class
1777,OKE,10,2021-04-28,1,1.0,17.078533,20.381847,3.195,29070632960.0,0.9015871789293399,0.0156495841634215,0.0320851458528265,0.0439941001443495,0.003307351288965,0.16510067257946234,0.11575105365728132,0.45881830561655174,0.22452916788419036,0.021,0.703,0.276,0.0829665539939513,-0.6139172754529206,-0.1333955359986635,-0.13521711042896095,-0.3024752903259977,-0.42398323586431585,-0.2120050992626017,-0.0948892767287982,0
1778,APH,9,2021-04-28,1,1.0,26.029963,29.182772,2.38,41586868224.0,1.6587719227871702,0.0266260334046604,0.0150013780241609,-0.0049482027691844,0.0371373252237207,1.9352540626622086,1.9933836345305918,0.385304186862753,1.4171644756648625,0.021,0.72,0.26,0.1688027210884352,-0.023449154505718675,0.2667729648253436,-0.6608118586079786,-0.07885032618420769,0.08573767038439928,0.09528064103150072,0.08285720705713484,0
1779,ETR,7,2021-04-28,1,1.0,18.59306,19.045153,6.179,23673550848.0,1.8859021132520501,0.0189069752082216,0.0159758134784853,0.053704904212693,0.0018464762239225,0.00932497771292004,0.19087833526617026,-0.6527297601443873,-0.34911187678647904,0.04,0.677,0.283,0.1593773491977085,0.11826319452160979,-0.29817080104384286,-0.13521711042896095,-0.36636813722365197,-0.6788436889886734,-0.4086679730508272,-0.023790683214424988,0
1780,BXP,1,2021-04-28,1,1.0,36.93115,55.07828,2.044,17562353664.0,1.74818415232738,0.0145897524048829,0.0176582836358146,0.0163391999346403,-0.024597253247024,-0.47531478422272155,-0.3821725968980302,-0.5737859935216343,-0.08013066469055138,0.041,0.806,0.153,0.068676002074535,0.8504436644961402,1.1259582754180646,-0.13521711042896095,0.7837031069341251,0.34059812350875684,0.5254806774432441,0.6516459551721205,0
1781,TDY,5,2021-04-28,1,1.0,22.288126,39.84707,9.939,18480125952.0,0.43307621085358006,0.0226486717349256,0.0234259805368316,-0.0012005809058021,0.024381986337633,-0.18290711681364882,-0.49282826859519624,0.6295995579207675,0.24538237864501272,0.036,0.725,0.239,0.1783045977011493,-1.2516228460758987,-1.4280583327822158,-0.48561360921497276,-1.037243029649022,-0.6788436889886734,-1.7361423711213495,-1.4102132567447028,0
1782,AVY,2,2021-04-28,1,1.0,17.832478,19.464466,8.907,14362553344.0,1.57040443116208,0.0279831670260134,-0.0193248526843127,-0.0151279425780612,0.0530574627796539,1.1607040696024298,1.1608082096825028,0.7051182543840633,1.2696473306122726,0.031,0.668,0.301,0.1609739698988403,-1.015435597697018,-0.3452494481996084,-0.8360101080009846,-0.4622074075701334,-0.933704142113031,-0.39637654343906314,-0.41483294754347766,0
1783,HUM,11,2021-04-28,1,1.0,18.38625,21.50178,20.509,55780884480.0,2.05645425007131,0.0140120532840228,-0.0021678704269909,0.0099307797156752,0.001865613941922,1.5436155357378392,1.6269781146400513,0.7167436496220533,1.1369796234540406,0.032,0.663,0.305,0.134061568842413,0.8504436644961402,0.3962392445036988,-0.13521711042896095,1.7420958103989395,-0.42398323586431585,0.30423494443149035,0.6516459551721205,0
1784,NSC,5,2021-04-28,1,1.0,17.981441,21.263447,11.619,58892083200.0,-1.19327824793499,0.026788011915062,0.0122521302440203,0.0061040991823906,0.0079395405715645,1.185991551152823,1.2546848891881046,0.33181918725914167,1.0355578264520662,0.035,0.666,0.298,0.1427031144211238,-0.11792405385727099,0.32562127377005046,-0.48561360921497276,-0.813618065507232,-0.1691227827399583,0.4394406701608954,-0.30818505727191786,0
1785,ROK,5,2021-04-28,1,1.0,17.039463,17.486614,11.58,23530266624.0,0.57088789245892,0.0283394243581954,-0.0222836175214312,-0.015106151826257,0.0581907741510316,-0.05533956712824097,-0.4662244512483039,0.2014372537069536,-0.10956702941906973,0.022,0.715,0.263,0.131072912302751,0.8504436644961402,-0.5100247132447878,-0.48561360921497276,-0.4622074075701334,-0.42398323586431585,0.046114922584444336,0.8293924389580536,0
1786,ROL,5,2021-04-28,1,1.0,45.835526,49.24328,0.707,17142567936.0,2.6091754103837896,0.0199659363046607,0.0068687439014786,0.0035202299311801,-0.0142043899502382,-0.1390047920926534,-0.1552333459568456,-0.40197209459160566,-0.20599689490284678,0.024,0.688,0.288,0.1880232181907438,-0.4958236512634802,-0.22755283031019458,-0.6608118586079786,-0.813618065507232,0.34059812350875684,-0.6790794245096373,-0.5214808378150375,0
1787,CME,8,2021-04-28,0,4.0,26.740452,28.911505,6.78,70507618304.0,1.3481202852851502,0.0206243952672376,0.0185042468914731,0.0099313935790452,-0.0143815570726477,-1.356716318254645,-1.4851142093004164,-0.30762701258101505,-0.8183177072771326,0.03,0.733,0.237,0.0358447488584474,-1.5350475441305556,-1.8753054807619882,-0.8360101080009846,-1.1011358765466763,-0.933704142113031,-1.674685223062529,-1.4102132567447028,0
1788,PFG,8,2021-04-28,1,1.0,9.990714,11.261254,6.22,17708095488.0,0.8478642516380099,0.0279529511264102,0.0413589541199946,-0.0154037572005003,-0.0092843095990624,-0.24130072027354235,-0.34947943145446825,-0.20274485043806348,0.08953649915774077,0.051,0.689,0.26,0.1258095877399674,-0.5430611009392564,-0.545333698611612,-0.3104153598219669,-0.4622074075701334,-0.42398323586431585,-0.22429652887436577,-0.4859315410578509,0
1789,SWK,5,2021-04-28,1,1.0,9.963502,10.705041,11.049,17880293376.0,1.42338532944467,0.0288458168582856,-0.0256101046377082,-0.0011936817833824,0.0339377688260526,0.8767797570676454,1.1032724972956036,0.5394369381671241,0.8692910533971421,0.022,0.645,0.333,0.136448791263606,1.9369050070389917,1.2083459079406542,0.9159723859290745,0.5920245662411623,-0.1691227827399583,0.7221435512314697,1.149336109772733,0
1790,GRMN,3,2021-04-28,1,1.0,16.45684,17.234552,5.858,19476449280.0,0.94627147093033,0.024656181960504,0.0070108391653805,-0.0184096872969264,0.001343253070922,-0.5211066676955535,-0.863325241660442,0.8483294181614897,-0.03334621057280902,0.056,0.695,0.249,0.1298986619441164,-1.4641913696168913,-0.9337325376466776,-0.3104153598219669,-0.8455644889560592,-0.42398323586431585,-1.2321937570390216,-1.3035653664731428,0
1791,MAS,5,2021-04-28,1,1.0,13.345411,30.30461,1.822,13498011648.0,1.4846081231767398,0.0255481266238315,0.007731014075811,-0.0157680767487287,0.04074005858715,0.03738070024660075,-0.09059483979989727,0.25808032024676714,0.0799525403162388,0.043,0.649,0.308,0.1484080575096201,-0.47220492642559214,-0.2510921538880773,-0.48561360921497276,-0.5261002544677877,-0.933704142113031,-0.39637654343906314,-0.6636780248437839,0
1792,BA,5,2021-04-28,1,1.0,26.317225,0.0,-14.511,72904065024.0,0.20385446099233,0.0231939400462696,0.0061190515914707,0.0334141143089149,-0.0102633154141233,-0.36820233169093475,-0.09650655571771306,-0.40603128270491673,-0.6125397362942542,0.043,0.718,0.239,0.0997560673216997,1.6298615841464468,1.1848065843627715,0.039981138964044954,0.4322924489970266,0.5954585766331144,1.7300407793961254,2.4646600897886373,0
