,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_eps
83,83,LNT,Utilities,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/alliant-energy-lnt-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/LNT/2022/Q1/,2.716
84,84,BMY,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/bristol-myers-squibb-bmy-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/BMY/2022/Q1/,2.823
85,85,CINF,Financials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/cincinnati-financial-cinf-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CINF/2022/Q1/,12.65
86,86,AON,Financials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/aon-aon-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AON/2022/Q1/,6.121
87,87,LUV,Industrials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/southwest-airlines-luv-q1-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/LUV/2022/Q1/,0.97
88,88,DXCM,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/dexcom-dxcm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DXCM/2022/Q1/,1.956
89,89,WST,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/west-pharmaceutical-services-wst-q1-2022-earnings/,/Users/gyf/Desktop/earning call analysis/WST/2022/Q1/,8.063
90,90,KLAC,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/kla-tencor-klac-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KLAC/2022/Q3/,17.618
91,91,GILD,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/gilead-sciences-gild-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/GILD/2022/Q1/,5.844
92,92,TEAM,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/atlassian-team-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TEAM/2022/Q3/,-4.288
93,93,AAPL,Information Technology,2022-04-29,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/29/apple-aapl-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AAPL/2022/Q2/,5.61
94,94,DLR,Real Estate,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/digital-realty-trust-dlr-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/DLR/2022/Q1/,2.371
95,95,WDC,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/western-digital-wdc-q3-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/WDC/2022/Q3/,4.78
96,96,RMD,Health Care,2022-04-28,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/28/resmed-rmd-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/RMD/2022/Q3/,3.412
